id,name,category,price,stock_count,ean_barcode,active,created_date
1,Lniany Konewka metalowa antracytowy,Garden,337.75,497,7383206038507,1,2010-01-12
2,Nowoczesny Wiadro plastikowe granatowy,Garage,395.23,459,6641106541130,1,2010-01-13
3,Wielofunkcyjny Wieszak na narzędzia,Garage,729.33,148,3095449791272,1,2010-01-23
4,Skandynawski Poduszka na leżak,Garden,481.01,236,9417634250731,0,2010-01-26
5,Praktyczny Konewka metalowa,Garden,531.84,446,3347272742311,0,2010-01-27
6,Nowoczesny Zszywacz biurowy zielony XL,Office,653.49,290,3074645205998,1,2010-02-15
7,Drewniany Obraz dekoracyjny brązowy L,Living Room,871.23,337,6946119524362,1,2010-02-22
8,Składany Mobilne nad łóżeczko szary XL,Nursery,807.81,71,9912347851966,0,2010-02-24
9,Vintage Kołdra letnia,Bedroom,759.85,118,1203875099776,0,2010-02-24
10,Ekologiczny Teczka dokumentów szary,Office,68.78,16,4627765725656,0,2010-03-02
11,Ceramiczny Wieszak na obrazki,Nursery,456.81,461,238061744513,1,2010-03-07
12,Ekologiczny Karmnik dla ptaków antracytowy,Garden,475.68,104,9589477352283,1,2010-03-22
13,Ceramiczny Regał na książki szary,Living Room,314.39,385,4235677826592,1,2010-03-23
14,Wielofunkcyjny Naklejki ścienne antracytowy M,Nursery,268.52,99,107139660553,0,2010-04-03
15,Boho Dywanik łazienkowy granatowy XL,Bathroom,53.56,153,4206788317125,0,2010-04-08
16,Ekologiczny Latarka ręczna naturalny S,Garage,802.58,349,4421017509618,1,2010-04-09
17,Luksusowy Organizer na narzędzia,Garage,783.24,91,644742123094,1,2010-04-11
18,Kompaktowy Stolik kawowy brązowy,Living Room,630.26,16,5120461872345,1,2010-04-14
19,Kompaktowy Ramka na certyfikat szary XL,Office,63.18,492,1157942387368,1,2010-04-17
20,Klasyczny Donica ceramiczna kremowy S,Living Room,782.54,378,8386384066651,0,2010-04-17
21,Drewniany Organizer do szafy,Bedroom,137.72,218,3761820916601,0,2010-04-22
22,Skandynawski Wycieraczka wejściowa,Hallway,220.48,104,4167812778223,0,2010-04-25
23,Kompaktowy Wieszak na obrazki kremowy,Nursery,422.62,460,7722660256261,1,2010-04-25
24,Elegancki Poduszka dekoracyjna,Living Room,876.96,101,4206969421528,0,2010-04-26
25,Szklany Lampka nocna,Bedroom,101.19,189,7090859914491,0,2010-05-10
26,Drewniany Garnek ze stali nierdzewnej kremowy XL,Kitchen,869.56,308,7499564122038,0,2010-05-11
27,Rustykały Wieszak na rośliny,Balcony,673.67,96,6829635339057,1,2010-05-13
28,Skandynawski Mobilne nad łóżeczko kremowy S,Nursery,399.8,97,2030937618472,1,2010-05-15
29,Bawełniany Zestaw szklanek czarny,Dining Room,286.1,335,6291486528162,1,2010-05-30
30,Szklany Worek próżniowy,Storage,582.17,357,3700332285560,1,2010-06-07
31,Boho Stolik kawowy beżowy,Living Room,503.94,295,5325939933799,1,2010-06-08
32,Industrialny Worek próżniowy biały S,Storage,861.86,54,3443899827803,0,2010-06-10
33,Praktyczny Podkładka pod talerz,Dining Room,624.57,30,3471754558845,1,2010-06-12
34,Skandynawski Konewka plastikowa granatowy M,Garden,393.01,129,7124633515717,1,2010-06-17
35,Boho Kosz wiklinowy,Hallway,702.67,458,3784233944955,0,2010-06-18
36,Minimalistyczny Dywanik łazienkowy,Bathroom,203.95,180,6434369709313,1,2010-06-29
37,Ceramiczny Blok na noże,Kitchen,788.73,266,468275670432,0,2010-06-30
38,Bambusowy Świecznik na stół,Dining Room,654.86,235,6810409157014,1,2010-07-04
39,Klasyczny Worek na delikatne pranie brązowy,Laundry Room,348.44,106,8027481242110,1,2010-07-06
40,Rustykały Organizer do szafy,Bedroom,158.97,489,8801336138618,0,2010-07-14
